time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130104:1200,-9.74,38.35,0,0,0,213.45,2.07,2,83310
20130104:1300,-10.35,38.2,0,0,0,209,1.38,351,83370
20130104:1400,-11.03,39.85,0,0,0,195.45,0.97,340,83390
20130104:1500,-11.78,43.3,0,0,0,187.7,0.76,328,83410
20130104:1600,-12.39,45.15,0,0,0,179.75,0.34,328,83410
20130104:1700,-12.87,45,0,0,0,179.75,0.07,288,83380
20130104:1800,-13.43,46.95,0,0,0,178.25,0.21,232,83360
20130104:1900,-14.47,48.85,0,0,0,176.1,0.41,281,83320
20130104:2000,-14.81,48.75,0,0,0,177.65,0.21,288,83280
20130104:2100,-15.09,51,0,0,0,185.95,0.14,268,83260
20130104:2200,-15.3,53.25,0,0,0,191,0.28,282,83250
20130104:2300,-15.55,53.25,0,0,0,184.6,0.62,268,83310
20130105:0000,-15.55,55.75,0,0,0,196.05,0.62,278,83360
20130105:0100,-15.15,55.75,154.85,815.69,62.35,201.95,0.62,258,83450
20130105:0200,-12.78,49.3,324.95,896.77,84.05,194.1,0.55,260,83500
20130105:0300,-10.51,43.75,452.95,924.24,92.85,189.85,0.55,281,83540
20130105:0400,-8.84,40.25,527.5,939.71,87.6,183.25,0.76,302,83500
20130105:0500,-7.38,37.25,527,830.01,113,182.85,1.17,307,83430
20130105:0600,-6.16,32.85,451.3,657.83,135.85,186.55,1.86,305,83350
20130105:0700,-6.68,34.2,329,479.89,131.45,190.4,2.21,327,83320
20130105:0800,-6.4,31.4,176.5,272.52,94.8,196.6,2.41,330,83320
20130105:0900,-6.64,32.7,40.75,89.06,27.25,194.5,2.07,335,83340
20130105:1000,-7.34,34.05,0,0,0,190.4,1.24,352,83400
20130105:1100,-8.15,35.3,0,0,0,185.4,0.41,3,83450
20130105:1200,-8.83,36.8,0,0,0,182.1,0.28,239,83460
20130105:1300,-9.77,41.95,0,0,0,180.75,0.69,241,83470
20130105:1400,-10.73,43.6,0,0,0,179.95,0.97,247,83500
20130105:1500,-11.6,45.45,0,0,0,178.4,1.1,244,83480
20130105:1600,-12.39,49.45,0,0,0,177.85,1.17,235,83460
20130105:1700,-13.07,51.6,0,0,0,176.85,1.31,221,83430
20130105:1800,-13.64,53.7,0,0,0,175.7,1.52,214,83390
20130105:1900,-14.05,56.15,0,0,0,176.5,1.66,209,83310
20130105:2000,-14.34,58.6,0,0,0,176.5,2,214,83310
20130105:2100,-14.78,61.2,0,0,0,178.8,1.59,217,83280
20130105:2200,-15.04,58.5,0,0,0,179.6,1.52,223,83240
20130105:2300,-15.2,61.1,0,0,0,177.65,1.93,220,83280
20130106:0000,-15.4,61.1,0,0,0,176.85,2.07,215,83350
20130106:0100,-15.25,61.1,165.4,899.84,63.15,178.35,1.52,217,83390
20130106:0200,-11.91,47.4,325.05,866.46,91.8,181.9,1.24,223,83410
20130106:0300,-7.87,38.8,431.35,770.68,130.35,184.25,1.52,223,83440
20130106:0400,-5.1,33.15,457.5,617.95,167.4,192.95,1.52,239,83410
20130106:0500,-3.34,25.85,437.1,428.97,222.4,204.15,1.72,288,83320
20130106:0600,-2.27,23.9,358.5,265.69,230.55,227.75,2.69,321,83250
20130106:0700,-2.28,23.9,242.8,151.82,179.95,234.35,2.97,332,83220
20130106:0800,-2.39,25,128.9,44.82,115.35,239.95,3.38,336,83210
20130106:0900,-2.82,27.15,31.05,16.86,28.45,244.8,2.97,339,83270
20130106:1000,-3.55,29.4,0,0,0,249.45,1.93,335,83320
20130106:1100,-4.16,32,0,0,0,241.5,1.24,316,83400
20130106:1200,-4.78,33.3,0,0,0,235.15,0.9,278,83420
20130106:1300,-5.61,37.7,0,0,0,226.05,0.97,249,83440
20130106:1400,-6.61,40.85,0,0,0,214.05,1.03,231,83420
20130106:1500,-7.47,42.55,0,0,0,212.5,1.17,222,83410
20130106:1600,-8.42,44.2,0,0,0,202.6,1.38,213,83380
20130106:1700,-9.4,48,0,0,0,193.7,1.66,201,83360
20130106:1800,-10.24,50,0,0,0,188.85,1.66,196,83300
20130106:1900,-10.97,49.85,0,0,0,182.5,1.72,192,83240
20130106:2000,-11.61,54.25,0,0,0,180.35,1.79,192,83200
20130106:2100,-12.1,54.25,0,0,0,179.2,1.72,188,83140
20130106:2200,-12.38,54.1,0,0,0,179,1.52,181,83100
20130106:2300,-12.47,54.1,0,0,0,179.2,1.31,176,83110
20130107:0000,-12.54,54.1,0,0,0,178.4,1.1,166,83120
20130107:0100,-12.49,54.1,173.75,1055.58,53.45,178.55,0.9,145,83180
